                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.63721,                 1.0399,                 1.0125,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.019543,              0.0015432,              0.0015432
                     83,                0.60142,                0.87184,                  1.019,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,                0.01848,              0.0014799,              0.0014799
                     84,                0.77796,                 1.1129,                 1.0833,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.017415,              0.0014146,              0.0014146
                     85,                0.60145,                0.96119,                 1.0287,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.016347,              0.0013473,              0.0013473
                     86,                  0.791,                 1.1948,                 1.1086,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.015278,               0.001278,               0.001278
                     87,                0.88861,                 1.2721,                 1.2807,                0.90824,                0.91667,                0.94469,                 0.5766,                 1.3866,                 1.8581,                 1.6062,               0.014207,              0.0012067,              0.0012067
                     88,                0.79412,                 1.1917,                 1.0546,                0.90824,                0.91667,                0.94469,                 0.5766,                 1.3866,                 1.8581,                 1.6062,               0.013133,              0.0011334,              0.0011334
                     89,                0.66683,                 1.1685,                 1.0514,                0.90824,                0.91667,                0.94469,                 0.5766,                 1.3866,                 1.8581,                 1.6062,               0.012058,              0.0010582,              0.0010582
                     90,                0.86749,                 1.1609,                 1.0714,                0.90824,                0.91667,                0.94469,                 0.5766,                 1.3866,                 1.8581,                 1.6062,               0.010981,               0.000981,               0.000981
                     91,                0.77958,                  1.181,                  1.151,                0.90824,                0.91667,                0.94469,                 0.5766,                 1.3866,                 1.8581,                 1.6062,              0.0099018,             0.00090181,             0.00090181
                     92,                0.78042,                 1.0906,                  1.044,                0.90824,                0.91667,                0.94469,                 0.5766,                 1.3866,                 1.8581,                 1.6062,              0.0088206,             0.00082064,             0.00082064
                     93,                 0.7222,                 1.1362,                 1.0059,                0.90792,                0.91667,                0.95417,                0.59399,                 1.3573,                 1.7935,                 1.5674,              0.0077375,             0.00073749,             0.00073749
                     94,                0.82076,                0.99931,                 1.0564,                0.90792,                0.91667,                0.95417,                0.59399,                 1.3573,                 1.7935,                 1.5674,              0.0066524,             0.00065236,             0.00065236
                     95,                0.69624,                0.96547,                 1.0198,                0.90792,                0.91667,                0.95417,                0.59399,                 1.3573,                 1.7935,                 1.5674,              0.0055653,             0.00056525,             0.00056525
                     96,                0.74496,                 1.0583,                 1.0518,                0.90792,                0.91667,                0.95417,                0.59399,                 1.3573,                 1.7935,                 1.5674,              0.0044762,             0.00047616,             0.00047616
                     97,                0.93127,                 1.1968,                 1.1742,                0.90792,                0.91667,                0.95417,                0.59399,                 1.3573,                 1.7935,                 1.5674,              0.0033851,             0.00038509,             0.00038509
                     98,                0.81935,                 1.0199,                 1.2169,                0.90792,                0.91667,                0.95417,                0.59399,                 1.3573,                 1.7935,                 1.5674,               0.002292,             0.00029204,             0.00029204
                     99,                0.62214,                0.97619,                  1.006,                0.90743,                0.91667,                 0.9573,                0.60659,                 1.3309,                  1.746,                 1.5512,               0.001197,             0.00019701,             0.00019701
